City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Omboue,GA,2020-10-27 02:43:44,-1.57,9.26,76.3,88,100,6.76
213,Katsuura,JP,2020-10-27 02:42:09,35.13,140.3,66.99,59,75,10.29
214,Soe,ID,2020-10-27 02:43:44,-9.86,124.28,86.94,43,84,6.4
215,Alta Floresta,BR,2020-10-27 02:43:44,-9.88,-56.09,71.8,87,43,1.34
216,Buraydah,SA,2020-10-27 02:39:14,26.33,43.98,59.0,38,0,3.36
217,Camocim,BR,2020-10-27 02:43:45,-2.9,-40.84,77.92,83,38,9.28
218,Provideniya,RU,2020-10-27 02:43:45,64.38,-173.3,33.8,69,90,4.47
219,Trairi,BR,2020-10-27 02:43:45,-3.28,-39.27,77.77,82,0,9.04
220,Guarda,PT,2020-10-27 02:43:45,40.54,-7.27,48.99,91,99,3.0
221,Georgetown,MY,2020-10-27 02:43:45,5.41,100.34,86.0,78,20,2.24
222,Saint George,US,2020-10-27 02:43:45,37.1,-113.58,44.6,12,1,23.04
223,Santa Vitoria Do Palmar,BR,2020-10-27 02:43:45,-33.52,-53.37,56.7,81,100,12.5
224,Chervona Sloboda,UA,2020-10-27 02:43:45,49.38,32.15,51.15,72,73,10.18
225,Hofn,IS,2020-10-27 02:43:46,64.25,-15.21,36.86,77,80,14.38
226,Salalah,OM,2020-10-27 02:43:46,17.02,54.09,73.4,64,0,2.24
227,Esperance,AU,2020-10-27 02:41:02,-33.87,121.9,77.0,47,0,4.7
228,Dingle,PH,2020-10-27 02:43:46,11.0,122.67,85.12,74,88,9.06
229,Zhezkazgan,KZ,2020-10-27 02:41:32,47.8,67.71,32.92,86,37,20.04
230,Thompson,CA,2020-10-27 02:40:49,55.74,-97.86,23.0,57,5,8.05
231,Oliveira Dos Brejinhos,BR,2020-10-27 02:43:46,-12.32,-42.9,70.95,87,64,2.33
232,Jibuti,DJ,2020-10-27 02:43:46,11.5,42.5,78.8,65,20,12.64
233,Constitucion,CL,2020-10-27 02:43:47,-35.33,-72.42,49.84,84,100,9.44
234,Pedernales,DO,2020-10-27 02:43:47,18.04,-71.74,81.52,69,98,4.52
235,Coahuayana,MX,2020-10-27 02:39:29,18.73,-103.68,79.68,88,99,2.33
236,New Port Richey,US,2020-10-27 02:43:47,28.24,-82.72,82.0,68,43,7.0
237,Husavik,IS,2020-10-27 02:43:47,66.04,-17.34,35.6,59,90,6.93
238,Mehamn,NO,2020-10-27 02:43:47,71.04,27.85,37.94,77,43,9.08
239,Mar Del Plata,AR,2020-10-27 02:42:45,-38.0,-57.56,55.0,81,0,3.36
240,Yellowknife,CA,2020-10-27 02:43:48,62.46,-114.35,21.2,79,90,12.75
241,Pio Xii,BR,2020-10-27 02:43:48,-3.83,-45.15,76.37,87,41,4.03
242,Dicabisagan,PH,2020-10-27 02:43:48,17.08,122.42,84.16,71,100,2.48
243,Meulaboh,ID,2020-10-27 02:43:48,4.14,96.13,83.91,69,53,2.48
244,Hasaki,JP,2020-10-27 02:43:48,35.73,140.83,66.99,55,75,12.75
245,Huittinen,FI,2020-10-27 02:43:48,61.18,22.7,48.99,100,90,6.93
246,Ayan,RU,2020-10-27 02:39:00,56.45,138.17,36.01,67,1,2.95
247,Beringovskiy,RU,2020-10-27 02:43:48,63.05,179.32,33.19,86,0,2.53
248,Victoria,HK,2020-10-27 02:40:00,22.29,114.16,81.0,57,21,4.0
249,Marsh Harbour,BS,2020-10-27 02:39:09,26.54,-77.06,81.75,79,98,9.17
250,San Rafael Del Sur,NI,2020-10-27 02:43:49,11.85,-86.44,78.8,94,75,4.7
251,Chiredzi,ZW,2020-10-27 02:43:49,-21.05,31.67,67.95,55,0,4.59
252,Sinnamary,GF,2020-10-27 02:43:49,5.38,-52.95,79.75,83,10,8.43
253,Swan River,CA,2020-10-27 02:42:05,52.11,-101.27,16.57,94,0,9.57
254,Lavrentiya,RU,2020-10-27 02:43:49,65.58,-171.0,31.05,91,2,4.47
255,Paamiut,GL,2020-10-27 02:43:50,61.99,-49.67,30.97,89,1,23.78
256,Castro,BR,2020-10-27 02:43:50,-24.79,-50.01,61.59,94,100,4.03
257,San Carlos De Bariloche,AR,2020-10-27 02:40:24,-41.15,-71.31,41.0,86,90,17.22
258,Nemuro,JP,2020-10-27 02:43:09,43.32,145.57,51.8,66,75,5.82
259,Koundara,GN,2020-10-27 02:43:50,12.48,-13.3,71.8,46,0,1.5
260,Komsomolskiy,UZ,2020-10-27 02:43:50,40.43,71.72,42.8,48,0,6.93
261,Obo,CF,2020-10-27 02:43:50,5.4,26.49,68.23,93,68,1.1
262,Manaure,CO,2020-10-27 02:43:50,11.78,-72.44,81.95,78,84,15.08
263,Astara,AZ,2020-10-27 02:43:51,38.5,48.67,48.2,100,0,2.04
264,Hudiksvall,SE,2020-10-27 02:43:51,61.73,17.1,44.91,97,100,1.3
265,Ribas Do Rio Pardo,BR,2020-10-27 02:43:51,-20.44,-53.76,69.67,89,100,2.28
266,Dali,CN,2020-10-27 02:43:51,25.7,100.18,66.76,69,73,2.1
267,Nuristan,AF,2020-10-27 02:43:51,35.3,70.83,31.66,69,0,8.28
268,Marawi,PH,2020-10-27 02:43:52,8.0,124.29,84.0,75,85,5.01
269,Baykit,RU,2020-10-27 02:43:52,61.67,96.37,16.81,92,68,4.68
270,Faanui,PF,2020-10-27 02:43:52,-16.48,-151.75,80.58,76,100,18.25
271,Sedona,US,2020-10-27 02:43:52,34.87,-111.76,35.01,34,1,19.46
272,Maria Aurora,PH,2020-10-27 02:43:52,15.8,121.47,82.83,75,100,5.26
273,Sisophon,KH,2020-10-27 02:43:52,13.59,102.97,80.38,75,82,4.83
274,San Juan Del Rio,MX,2020-10-27 02:39:32,20.38,-100.0,68.0,14,40,5.82
275,Palmares Do Sul,BR,2020-10-27 02:43:53,-30.26,-50.51,66.09,89,100,16.96
276,Makakilo City,US,2020-10-27 02:39:42,21.35,-158.09,82.4,74,75,11.41
277,Ferme-Neuve,CA,2020-10-27 02:43:53,46.7,-75.45,33.76,93,100,5.48
278,Sitka,US,2020-10-27 02:41:47,57.05,-135.33,50.0,81,90,10.29
279,Awjilah,LY,2020-10-27 02:43:53,29.11,21.29,64.09,64,0,3.0
280,Fethiye,TR,2020-10-27 02:43:53,36.62,29.12,57.2,93,0,5.82
281,Toila,EE,2020-10-27 02:43:53,59.42,27.5,50.85,90,99,16.87
282,Sioux Lookout,CA,2020-10-27 02:43:13,50.1,-91.92,24.8,62,75,9.17
283,Palestine,PS,2020-10-27 02:43:54,31.92,35.2,69.01,82,0,2.24
284,Havre-Saint-Pierre,CA,2020-10-27 02:43:54,50.23,-63.6,30.2,100,90,4.7
285,Lake Havasu City,US,2020-10-27 02:43:54,34.48,-114.32,59.0,6,40,20.8
286,Paso De Carrasco,UY,2020-10-27 02:43:54,-34.86,-56.05,55.4,62,0,9.17
287,Vila Franca Do Campo,PT,2020-10-27 02:43:54,37.72,-25.43,68.0,88,75,16.11
288,Jaguaruna,BR,2020-10-27 02:43:54,-28.61,-49.03,68.49,93,99,11.05
289,Dunedin,NZ,2020-10-27 02:41:11,-45.87,170.5,54.0,65,43,11.01
290,Carutapera,BR,2020-10-27 02:41:20,-1.2,-46.02,78.49,84,95,5.95
291,Quelimane,MZ,2020-10-27 02:43:55,-17.88,36.89,75.2,94,20,4.7
292,Krasnouralsk,RU,2020-10-27 02:43:55,58.36,60.04,19.83,95,100,13.4
293,Kautokeino,NO,2020-10-27 02:43:55,69.01,23.04,28.08,98,78,14.74
294,Kambove,CD,2020-10-27 02:43:55,-10.88,26.6,65.82,70,100,2.95
295,Muros,ES,2020-10-27 02:43:55,42.78,-9.06,55.99,87,99,15.99
296,Yerbogachen,RU,2020-10-27 02:43:55,61.28,108.01,22.55,95,100,4.81
297,Segou,ML,2020-10-27 02:43:55,13.43,-6.22,76.78,18,47,5.59
298,Sao Domingos Do Maranhao,BR,2020-10-27 02:43:55,-5.58,-44.39,78.03,75,16,3.65
299,Roebourne,AU,2020-10-27 02:43:56,-20.78,117.13,86.41,35,1,13.6
300,Broken Hill,AU,2020-10-27 02:43:56,-31.95,141.43,60.8,63,40,8.05
301,Foggia,IT,2020-10-27 02:43:56,41.45,15.53,53.6,81,20,9.17
302,Balabac,PH,2020-10-27 02:43:56,7.99,117.06,78.42,87,100,24.58
